product,category,unit_price,sale,customer,date
Aurora Wireless Earbuds,Audio,85.50,85.50,CUST-41034,2026-02-17
Halo Conference Webcam,Video,179.52,179.52,CUST-41052,2026-02-21
Cobalt USB-C Dock,Accessories,172.48,344.96,CUST-41001,2026-02-23
Halo Conference Webcam,Video,195.47,195.47,CUST-41035,2026-02-25
Aurora Wireless Earbuds,Audio,92.96,92.96,CUST-41004,2026-02-01
Vertex Mechanical Keyboard,Peripherals,141.97,567.88,CUST-41017,2026-02-22
Cobalt USB-C Dock,Accessories,163.90,163.90,CUST-41000,2026-02-12
Vertex Mechanical Keyboard,Peripherals,145.40,145.40,CUST-41001,2026-02-12
Vertex Ergo Mouse,Peripherals,55.74,111.48,CUST-41009,2026-02-11
Vertex Ergo Mouse,Peripherals,59.67,179.01,CUST-41012,2026-02-09
Cobalt 100W Charger,Accessories,67.32,134.64,CUST-41002,2026-02-18
Cobalt USB-C Dock,Accessories,182.33,182.33,CUST-41026,2026-02-25
Nimbus Noise-Cancelling Headset,Audio,220.66,220.66,CUST-41061,2026-02-26
Vertex Mechanical Keyboard,Peripherals,137.95,137.95,CUST-41055,2026-02-17
Vertex Mechanical Keyboard,Peripherals,128.08,256.16,CUST-41021,2026-02-23
Halo Conference Webcam,Video,200.56,200.56,CUST-41023,2026-02-12
Aurora Wireless Earbuds,Audio,84.56,169.12,CUST-41063,2026-02-03
Vertex Mechanical Keyboard,Peripherals,126.32,126.32,CUST-41045,2026-02-01
Halo Conference Webcam,Video,197.86,395.72,CUST-41050,2026-02-13
Aurora Wireless Earbuds,Audio,88.83,266.49,CUST-41011,2026-02-26
Cobalt 100W Charger,Accessories,68.03,68.03,CUST-41035,2026-02-06
Slate Laptop Stand,Accessories,50.03,100.06,CUST-41027,2026-02-09
"Lumen 27"" 4K Monitor",Displays,417.26,417.26,CUST-41012,2026-02-22
Vertex Ergo Mouse,Peripherals,60.61,242.44,CUST-41048,2026-02-16
Cobalt 100W Charger,Accessories,69.35,69.35,CUST-41059,2026-02-01
Vertex Mechanical Keyboard,Peripherals,129.05,129.05,CUST-41041,2026-02-18
Aurora Wireless Earbuds,Audio,81.79,163.58,CUST-41036,2026-02-02
Cobalt 100W Charger,Accessories,72.14,72.14,CUST-41025,2026-02-02
Aurora Wireless Earbuds,Audio,81.31,81.31,CUST-41047,2026-02-22
Vertex Ergo Mouse,Peripherals,58.30,116.60,CUST-41006,2026-02-08
Halo Conference Webcam,Video,190.81,190.81,CUST-41032,2026-02-14
Vertex Mechanical Keyboard,Peripherals,136.89,136.89,CUST-41006,2026-02-23
Nimbus Noise-Cancelling Headset,Audio,218.75,218.75,CUST-41060,2026-02-24
Halo Conference Webcam,Video,201.83,403.66,CUST-41058,2026-02-22
Vertex Mechanical Keyboard,Peripherals,126.33,126.33,CUST-41045,2026-02-02
Vertex Mechanical Keyboard,Peripherals,145.22,145.22,CUST-41029,2026-02-06
Slate Laptop Stand,Accessories,46.98,46.98,CUST-41052,2026-02-24
Vertex Ergo Mouse,Peripherals,53.75,53.75,CUST-41004,2026-02-01
Cobalt USB-C Dock,Accessories,179.69,179.69,CUST-41013,2026-02-28
Cobalt USB-C Dock,Accessories,164.45,328.90,CUST-41046,2026-02-06
Halo Conference Webcam,Video,181.59,1089.54,CUST-41024,2026-02-20
Cobalt 100W Charger,Accessories,62.77,62.77,CUST-41016,2026-02-22
Cobalt 100W Charger,Accessories,67.34,67.34,CUST-41047,2026-02-25
Vertex Ergo Mouse,Peripherals,59.25,177.75,CUST-41043,2026-02-11
Vertex Ergo Mouse,Peripherals,53.57,107.14,CUST-41016,2026-02-24
Cobalt USB-C Dock,Accessories,164.35,164.35,CUST-41063,2026-02-25
Aurora Wireless Earbuds,Audio,88.63,88.63,CUST-41055,2026-02-25
Vertex Mechanical Keyboard,Peripherals,128.37,513.48,CUST-41024,2026-02-01
"Lumen 27"" 4K Monitor",Displays,394.94,1579.76,CUST-41029,2026-02-09
Aurora Wireless Earbuds,Audio,92.50,370.00,CUST-41020,2026-02-20
Cobalt 100W Charger,Accessories,71.30,142.60,CUST-41029,2026-02-28
Slate Laptop Stand,Accessories,46.59,93.18,CUST-41045,2026-02-05
Aurora Wireless Earbuds,Audio,83.27,166.54,CUST-41006,2026-02-27
Cobalt 100W Charger,Accessories,64.79,129.58,CUST-41029,2026-02-19
Cobalt 100W Charger,Accessories,67.15,67.15,CUST-41002,2026-02-15
Cobalt 100W Charger,Accessories,67.92,67.92,CUST-41024,2026-02-05
Lumen Portable Monitor,Displays,248.00,496.00,CUST-41059,2026-02-21
Cobalt USB-C Dock,Accessories,183.57,367.14,CUST-41035,2026-02-22
Vertex Mechanical Keyboard,Peripherals,131.31,262.62,CUST-41037,2026-02-03
Vertex Ergo Mouse,Peripherals,55.28,55.28,CUST-41021,2026-02-25
Aurora Wireless Earbuds,Audio,85.00,85.00,CUST-41063,2026-02-12
Lumen Portable Monitor,Displays,243.16,972.64,CUST-41026,2026-02-20
Slate Laptop Stand,Accessories,44.63,133.89,CUST-41015,2026-02-23
Cobalt USB-C Dock,Accessories,177.80,177.80,CUST-41028,2026-02-22
Aurora Wireless Earbuds,Audio,92.48,369.92,CUST-41015,2026-02-21
Cobalt 100W Charger,Accessories,70.75,70.75,CUST-41056,2026-02-10
